,company_name,founded_year,company_hq_location,sector,company_description,founders,investor,amount_usd,funding_round,funding_month,funding_year
219,ApplicateAI,2014.0,Gurugram,Information Technology & Services,"‘ApplicateAI’ is an integrated AI BOT platform for Enterprise with defined and curated work-flows for Sales, Consumer Engagement and Employee support and engagement.","Madhusudan Atmakuri, Ranjeet Kumar",,30000000.0,Series A,10,2021
220,VLCC Health Care,1989.0,Gurugram,"Health, Wellness & Fitness",VLCC is today widely recognized for its comprehensive portfolio of beauty and wellness products and services,Vandana Luthra,,4000000.0,Unknown,10,2021
222,Aviom India,2016.0,Bhilwara,Financial Services,AVIOM India Housing Finance Pvt. Ltd. is a venture started by experienced professionals with a vision to improve the standard of living of families from the informal sector in rural areas,Kajal Ilmi,Sabre Partners,8000000.0,Series C,10,2021
223,Onato,2021.0,Bengaluru,Computer Software,A startup solving inefficiencies in the agri supply chain,"Vedant Katiyar, Ashish Jindal","Vertex Ventures, Omnivore",2200000.0,Unknown,10,2021
225,SaaS Labs,2016.0,Noida,Saas,"Building high impact communication, workflow and productivity tools for sales and support teams throughout the globe.",Gaurav Sharma,"Base 10 Partners, Eight Roads Ventures",17000000.0,Series A,10,2021
227,CRED,2018.0,Bengaluru,Financial Services,CRED is a credit card payment platform that rewards users with points for paying their bills.,Kunal Shah,"Tiger Global, Falcon Edge",250000000.0,Series E,10,2021
230,CredAble,2017.0,Mumbai,Financial Services,CredAble provides liquidity programs for enterprise supply chains.,Nirav Choksi,"Plutus Wealth, Oaks Asset Management",30000000.0,Series B,10,2021
231,MarketWolf,2017.0,Mumbai,Financial Services,"MarketWolf provides everyone an opportunity to begin their trading journey with a unique digital platform that is bold, simple and fun.","Vishesh Dhingra, Thomas Joseph","Anil Thadani, Ashutosh Sinha, Roy van Leeuwen",5500000.0,Seed,10,2021
233,SUN Mobility,2017.0,Bengaluru,Automotive,Provider of universal energy infrastructure and services to accelerate mass EV usage!,Chetan Maini,Vitol,50000000.0,Unknown,10,2021
235,Revfin,2017.0,New Delhi,Financial Services,"RevFin is a financial technology (FinTech) company, advanced digital lending platform makes getting a loan convenient and accessible for customers",Sameer Aggarwal,"Ruchirans Jaipuria, Rishi Kajaria",4000000.0,Pre-Series A,10,2021
236,Yu Foodlabs,2020.0,Gurugram,Food & Beverages,Re-imagining Packaged Foods with Natural Ingredients & ZERO Preservatives,"Bharat Bhalla, Varun Kapur","Manish Choksi, Varun Vakil",1000000.0,Pre-Series A,10,2021
239,Questt,2020.0,Gurugram,Edtech,Questt is a Free online homework app that lets teachers assign gamified homework to students.,"Akhil, Mohsin M, Rohit Pande",Celesta Capital,6750000.0,Series A,10,2021
240,IDfy,2011.0,Mumbai,Information Technology & Services,IDfy helps people and business build authentic relationships by ensuring that both parties are who they claim to be and can be trusted.,Ashok Hariharan,"TransUnion, Blume Ventures",10000000.0,Series D,10,2021
241,ClearDekho,2016.0,Ghaziabad,Retail,ClearDekho is India’s Leading Affordable Eyewear Brand.,"Saurabh Dayal, Shivi Singh",Aroa Ventures,4000000.0,Pre-Series A,10,2021
243,Sourcewiz,2021.0,Gurugram,Information Technology & Services,Building a platform for exporters to digitize their workflows and help them grow and manage their business.,"Divyaanshu Makkar, Vikas, Mayur","Blume, Alpha Wave Incubation",3000000.0,Seed,10,2021
245,Kafqa Academy,2021.0,Bengaluru,E-Learning,"Kafqa Academy is a global performing arts academy that offers classes in dancing, singing, and speech & drama.",Shariq Plasticwala,"Global Founders Capital, Enzia Ventures, Better Capital",1300000.0,Seed,10,2021
247,Storia,2016.0,Mumbai,Food & Beverages,"Storia Foods and Beverages is committed to creating products that are natural, full of goodness and promote a healthy lifestyle.",Vishal Shah,Sixth Sense Ventures,6000000.0,Series A,10,2021
248,Clear,2011.0,Bengaluru,Computer Software,India’s leading FinTech SaaS platform,"Archit Gupta, Srivatsan Chari","Kora Capital, Stripe, Alua Capital",75000000.0,Series C,10,2021
249,Groww,2016.0,Bengaluru,Financial Services,Groww is on a mission to democratize access to financial services for millions of Indians responsibly.,"Lalit Keshre, Harsh Jain, Ishan Bansal, Neeraj Singh",Iconiq Growth,250000000.0,Series E,10,2021
250,The Indus Valley,2016.0,Chennai,Consumer Goods,Consumer GoodsThe Indus Valley is a Direct to Consumer (D2C) healthy kitchenware brand.,"Jagadeesh Kumar, Madhumitha Udaykumar","Rukam Capital, DSG Consumer Partners, The Chennai Angels",1100000.0,Unknown,10,2021
251,BharatPe,2018.0,New Delhi,Financial Services,"BharatPe launched India’s first UPI interoperable QR code, first ZERO MDR payment acceptance service, and first UPI payment backed merchant cash advance service.","Ashneer Grover, Shashvat Nakrani",MAS Financial Services,10000000.0,Unknown,10,2021
252,Teachmint,2020.0,Bengaluru,E-Learning,Teachmint is an education infrastructure provider and India’s largest teaching platform.,"Divyansh Bordia, Mihir Gupta","Rocketship.vc, Vulcan Capital",78000000.0,Series B,10,2021
253,Porter,2014.0,Bengaluru,Logistics & Supply Chain,Porter is India's Largest Marketplace for Intra-City Logistics.,"Pranav Goel, Uttam Digga, Vikas Choudhary","Tiger Global, Vitruvian Partners",100000000.0,Series E,10,2021
254,O4S,2017.0,Gurugram,Information Technology & Services,O4S SaaS helps Consumer Brands to Digitize and Automate their Supply Chain thereby increasing Sales and Performance.,"Divay Kumar, Shreyans Sipani","Think Investments, Venture Highway",6000000.0,Series A,10,2021
256,BASIC Home Loan,2020.0,Gurugram,Financial Services,BASIC Home Loan is India's first automated platform for secured lending with special focus on the affordable housing segment.,"Atul Monga, Kalyan Josyula","Venture Catalysts, Gruhas Proptech",3500000.0,Series A,10,2021
257,Siply,2020.0,Bengaluru,Financial Services,"A tech-enabled micro-savings platform, for the underserved masses, that makes it possible to save starting at Re. 1","Sousthav Chakrabarty, Anil Bhat","LetsVenture, AngelList India, Founder's Room Circle",3200000.0,Pre-Series A,10,2021
258,BankSathi,2020.0,New Delhi,Financial Services,"BankSathi is a Fintech platform to empower consumers to save money and time on financial products through safe, easy, and trustable shopping experience.",Jitendra Dhaka,"Dinesh Godara, Anuj Ahuja, Aditya",500000.0,Unknown,10,2021
259,Gramophone,2016.0,Indore,Agritech,"Create a difference in farming by bringing timely information, technology and right kind of inputs to achieve better yields for farmers.","Tauseef Khan, Harshit Gupta",Z3Partners,10000000.0,Unknown,10,2021
261,E42,2012.0,Pune,Computer Software,E42 is the world’s leading Natural Language Processing- based AI platform driving enterprise cognition across processes.,"Animesh Samuel, Sanjeev Menon",Pavestone Ventures,5400000.0,Series A,10,2021
263,DeHaat,2012.0,Gurugram,Information Technology & Services,DeHaat™ is one of the fastest growing start-ups in Agri Tech sector and one of the very few companies providing end-to-end solutions and services to the farming community in India.,"Amrendra Singh, Shyam Sundar, Adarsh Srivastav, Shashank Kumar","Sofina, Lightrock India, Temasek",115000000.0,Series D,10,2021
265,Zolve,2020.0,Bengaluru,Financial Services,World's first cross-border Neobank,Raghunandan G,DST Global,40000000.0,Series A,10,2021
266,Instoried,2018.0,Bengaluru,Computer Software,"The platform helps content writers in e-commerce, news, FMCG, and other verticals to optimize emotions in their marketing content.",Sharmin Ali,"Pritt Investment Partners, 9Unicorns",8000000.0,Unknown,10,2021
270,Zenduty,2019.0,Bengaluru,Computer Software,"Next-generation end-to-end incident response platform for SREs, DevOps, ITOps and Support teams","Ankur Rawal, Vishwa Krishnakumar",StartupXseed Ventures,1900000.0,Pre-Series A,10,2021
271,R for Rabbit,2014.0,Ahmedabad,Consumer Goods,The concept of R for Rabbit was conceived after the founder of the company was blessed with a baby.,Kunal Popat,Xponentia Capital Partners,5000000.0,Unknown,10,2021
273,LoveLocal,2015.0,Mumbai,Retail,LoveLocal (formerly known as m.Paani) is bringing Trusted Local Shops Online and empowering them to deliver the neighbourhood shopping experience of the future.,Akanksha Hazari,Vulcan Capital,18000000.0,Pre-Series B,10,2021
274,SupplyNote,2015.0,Noida,Food & Beverages,"SupplyNote is Cloud based web and mobile enabled suite connecting outlets, service providers and suppliers.","Kushang, Abhishek Verma, Nitin Prakash, Harshit Mittal",Venture Catalysts,1200000.0,Pre-Series A,10,2021
276,Cloudphysician,2017.0,Bengaluru,Hospital & Health Care,Cloudphysician is a healthtech company that is transforming the delivery of critical care.,"Dr Dhruv Joshi, Dr Dileep Raman",Elevar Equity,4000000.0,Pre-Series A,10,2021
278,Avanti Finance,2017.0,Bengaluru,Financial Services,A digital platform to make financial services accessible to 100 million unserved and underserved households across India,"Nandan Nilekani, Vijay Kelkar","Oikocredit, Nomura, The Bill & Melinda Gates Foundation",15000000.0,Series A,10,2021
279,Vanity Wagon,2018.0,New Delhi,Consumer Goods,Vanity Wagon is India's first true information oriented clean beauty marketplace.,"Prateek, Naina Ruhail, Sahil Shreshtha",Inflection Point Ventures,700000.0,Pre-Series A,10,2021
280,Purplle,2012.0,Mumbai,E-Commerce,Purplle.com is one of India’s largest e-beauty destinations with more than 7 million monthly active users.,"Rahul Dash, Manish Taneja",Kedaara,70000000.0,Unknown,10,2021
282,MFine,2017.0,Bengaluru,Hospital & Health Care,"MFine aims to make access to trusted healthcare simple, fast, and effective.","Prasad Kompalli, Ashutosh Lawania","Moore Strategic Ventures, BEENEXT",48000000.0,Series C,9,2021
284,Mentza,2020.0,Mumbai,E-Learning,"Make great conversations accessible to everyone through a vibrant, small, safe, and easy real-time audio platform","Anurag Vaish, Tapasi Mittal, Fareesh Vijayarangam, Anand Parameswaran, Divya Balakrishnan",Inflection Point Ventures,400000.0,Seed,9,2021
285,ConnectedH,2018.0,Gurugram,Hospital & Health Care,Connect different sectors of healthcare system and give the patients complete control over their information.,"Shubham Gupta, Rahul Kumar, Suresh Singh","Kalaari Capital, Incubate Fund India",2300000.0,Seed,9,2021
286,CredAvenue,2017.0,Chennai,Fintech,CredAvenue is an organization on a mission to deepen and power the 120Trillion global enterprise debt market which would unlock a GDP multiplier and thus create massive economic value.,Gaurav Kumar,"Sequoia Capital, Lightspeed, TVS Capital Funds",90000000.0,Series A,9,2021
287,Vedantu,2011.0,Bengaluru,E-Learning,Vedantu is a LIVE online learning platform that brings together students and teachers to achieve best results.,"Vamsi Krishna, Pulkit Jain, Saurabh Saxena, Anand Prakash",ABC World Asia,100000000.0,Series E,9,2021
292,Cusmat,2016.0,Hyderabad,Computer Software,CUSMAT is India’s largest immersive skilling and training platform.,"Abhinav Ayan, Anirban Jyoti Chakravorty",We Founder Circle,100000.0,Pre-Series A,9,2021
293,Homeville,2017.0,Mumbai,Information Technology & Services,A technology company focused on helping people buy their first home with down payment assistance at zero interest cost.,Madhusudan Sharma,"9Unicorns, Varanium NexGen Fund",7000000.0,Unknown,9,2021
295,Strip Finance,2021.0,Hyderabad,Financial Services,Collateralised NFT & DeFi Liquidity Protocol With Interest Rate Discovery.,"Varun Satyam, Yuvraj Chhibber, Yash Jejani","Old Fashion Research, Nothing Research, Tenzor capital",400000.0,Seed,9,2021
296,Ola Electric,2017.0,Bengaluru,Automotive,Charging ahead to accelerate the world’s transition to sustainable mobility.,Bhavish Aggarwal,"Falcon Edge, Softbank",200000000.0,Unknown,9,2021
298,Chqbook,2017.0,Gurugram,Fintech,"Chqbook.com is India’s first neobank for small business owners offering world-class financial services through its five pillars of banking, khata, lending, insurance, and rewards.","Vipul Sharma, Rajat Kumar, Sachin Arora","Aavishkaar Capital, Rajiv Dadlani Group",5000000.0,Pre-Series B,9,2021
300,EV Plugs,2021.0,Gurugram,Information Technology & Services,EV charging station aggregator platform,"Manish Narang, Kapil Narang, Ashwani Arora",,150000.0,Unknown,9,2021
301,Rulezero,2019.0,Bengaluru,Financial Services,"Rulezero is a legal/fintech startup reimagining private markets by building an intelligent platform that enables stakeholder participation and capital flow in a transparent, efficient and compliant manner.","Satish Mugulavalli, Srinivas Katta",The Treasury,2500000.0,Seed,9,2021
302,CredRight,2016.0,Hyderabad,Financial Services,"CredRight is a new age digital lending company 100% focused on Micro & Small businesses, making the process of availing loans simple",Neeraj Bansal,"9Unicorns, Spearhead Capital, Venture Catalysts",2700000.0,Unknown,9,2021
303,Karbon Card,2019.0,Bengaluru,Fintech,"Empower Indian startups by creating the right financial products starting with a high-limit corporate credit card with unlimited benefits, no personal liability and no fixed deposit.","Pei-fu Hsieh, Amit Jangir, Kartik Jain, Sunil Sinha","Ramp, Rainfall Ventures, Roka Works, Y Combinator",12000000.0,Pre-Series A,9,2021
304,Auntie Fung,2015.0,Bengaluru,Food & Beverages,Serving delectable and eclectic pan-Asian fare to all foodies in a quick-service & healthy format,"Satrajit Das, Subhradeep Bhowmik",India Angel Network,400000.0,Unknown,9,2021
305,ePayLater,2015.0,Mumbai,Financial Services,ePaylater is a payment solution that aims to separate the experience of shopping from the hassles of payment process.,"Aurko Bhattacharya, Akshat Saxena","Responsibility, Blue Ashva Capital, Pravega Ventures",10000000.0,Series B,9,2021
306,Fittr,2016.0,Pune,"Health, Wellness & Fitness","FITTR’s mission is to reach out to 50 million people and make them fit, create jobs in the fitness industry, teach people how easy it is to stay fit and move together as a Wolfpack.","Rohit Chattopadhyay, Jitendra Chouksey, Suniel Shetty, Sonal Singh, Bala Dabbedi","Dream Capital, Elysian Park Ventures",11000000.0,Series A,9,2021
307,Medikabazaar,2014.0,Mumbai,Healthtech,"Medikabazaar, India’s pioneering and largest online B2B marketspace for medical supplies and equipment.","Vivek Tiwari, Ketan Malkan","CDC Group, Creaegis",75000000.0,Series C,9,2021
309,Delhivery,2011.0,Gurugram,Logistics & Supply Chain,Delhivery is a leading logistics and supply chain services company in India.,Sahil Barua,"Lee Fixel’s venture capital firm, Addition",125000000.0,Unknown,9,2021
310,Akudo,2020.0,Bengaluru,Financial Services,A Learning-First Neobank for teenagers - Enable practical financial education for child today,"Lavika Aggarwal, Sajal Khanna, Jgaveer Gandhi","Y Combinator, JAFCO Asia, Incubate Fund India, marquee angels",4200000.0,Seed,9,2021
312,88academics,2018.0,New Delhi,E-Learning,88academics an 88tuition Pte Ltd has been established with the social objective of making quality video-based learning material available to all students.,Anil Ahuja,Aarin Capital,3000000.0,Pre-Series A,9,2021
314,Sanfe,2018.0,New Delhi,"Health, Wellness & Fitness",India’s revolutionary feminine hygiene and period care brand that strives to build a better world for women.,"Archit Aggarwal, Harry Sehrawat","LetsVenture, Ajay Garg, Tarun Sharma",1000000.0,Series A,9,2021
316,Sterling Accuris Wellness,2016.0,Ahmedabad,Hospital & Health Care,"STERLING ACCURIS WELLNESS PRIVATE LIMITED is a hospital & health care company based out of 3-FLOOR HERITAGE COMPLEX, NR.",Girish Patel,Morgan Stanley Private Equity Asia,30000000.0,Unknown,9,2021
